Year,Elevation,Quantity (Kg),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,2022-2
2015-10,Low,16404965.0,,,,,,,,,,,,,,,
2015-10,Total,26869552.0,,,,,,,,,,,,,,,
2015-11,High,5917264.0,,,,,,,,,,,,,,,
2015-11,Medium,3736684.0,,,,,,,,,,,,,,,
2015-11,Low,15684341.0,,,,,,,,,,,,,,,
2015-11,Total,25338289.0,,,,,,,,,,,,,,,
2015-12,High,5406987.0,,,,,,,,,,,,,,,
2015-12,Medium,3265227.0,,,,,,,,,,,,,,,
2015-12,Low,14947739.0,,,,,,,,,,,,,,,
2015-12,Total,23619953.0,,,,,,,,,,,,,,,
2016-01,High,5525842.0,,,,,,,,,,,,,,,
2016-01,Medium,3650049.0,,,,,,,,,,,,,,,
2016-01,Low,16043946.0,,,,,,,,,,,,,,,
2016-01,Total,25219836.0,,,,,,,,,,,,,,,
2016-02,High,5399367.0,,,,,,,,,,,,,,,
2016-02,Medium,3505810.0,,,,,,,,,,,,,,,
2016-02,Low,14085593.0,,,,,,,,,,,,,,,
2016-02,Total,22990770.0,,,,,,,,,,,,,,,
2016-03,High,5259465.0,,,,,,,,,,,,,,,
2016-03,Medium,3553232.0,,,,,,,,,,,,,,,
2016-03,Low,13395289.0,,,,,,,,,,,,,,,
2016-03,Total,22207986.0,,,,,,,,,,,,,,,
2016-04,High,6847524.0,,,,,,,,,,,,,,,
2016-04,Medium,4447144.0,,,,,,,,,,,,,,,
2016-04,Low,16042604.0,,,,,,,,,,,,,,,
2016-04,Total,27337272.0,,,,,,,,,,,,,,,
2016-05,High,8320511.0,,,,,,,,,,,,,,,
2016-05,Medium,5147250.0,,,,,,,,,,,,,,,
2016-05,Low,17355778.0,,,,,,,,,,,,,,,
2016-05,Total,30823539.0,,,,,,,,,,,,,,,
2016-06,High,5037516.0,,,,,,,,,,,,,,,
2016-06,Medium,4026205.0,,,,,,,,,,,,,,,
2016-06,Low,16611143.0,,,,,,,,,,,,,,,
2016-06,Total,25674865.0,,,,,,,,,,,,,,,
2016-07,High,4527300.0,,,,,,,,,,,,,,,
2016-07,Medium,3283520.0,,,,,,,,,,,,,,,
2016-07,Low,13702989.0,,,,,,,,,,,,,,,
2016-07,Total,21513809.0,,,,,,,,,,,,,,,
2016-08,High,4080530.0,,,,,,,,,,,,,,,
2016-08,Medium,3252603.0,,,,,,,,,,,,,,,
2016-08,Low,15923187.0,,,,,,,,,,,,,,,
2016-08,Total,23256320.0,,,,,,,,,,,,,,,
2016-09,High,3971996.0,,,,,,,,,,,,,,,
